1	jb05x03a	1	116.48237609863281
1	wy0y5ztd	2	116.48237609863281
1	okqsvg8q	3	116.00634002685547
1	qp0h50t3	4	115.19815063476562
1	rzpbpxw2	5	114.9536361694336
1	1q2gqh22	6	114.56709289550781
1	h2m0rhk1	7	114.56709289550781
1	gdfxiosc	8	113.86763763427734
1	co4g09u3	9	113.68655395507812
1	u7ir986m	10	113.13217163085938
9	9zjtwp19	1	113.28070068359375
9	ew5eaeg2	2	111.801513671875
9	vgtc0k3a	3	111.76602935791016
9	woylyufz	4	111.34900665283203
9	1vxa19v0	5	111.22857666015625
9	bo6ngxot	6	110.82859802246094
9	jb05x03a	7	110.55529022216797
9	wy0y5ztd	8	110.55529022216797
9	1k48jx7v	9	110.38047790527344
9	swtryfq9	10	110.32756805419922
17	dzvfaa8z	1	112.89125061035156
17	h10o18ss	2	111.81443786621094
17	w630f23b	3	107.68494415283203
17	7sw4rmyg	4	107.38888549804688
17	j1cdoxqs	5	107.33626556396484
17	ekc1tkyt	6	106.76362609863281
17	kh21pnbw	7	106.35491943359375
17	o8j17zzs	8	105.79791259765625
17	gvfooevu	9	105.74993133544922
17	be0mr85h	10	105.7327651977539
25	pd70i3d8	1	105.55110931396484
25	gijrt53n	2	104.80806732177734
25	t996fbad	3	103.5123291015625
25	9k8r18x7	4	103.5123291015625
25	030wsh8e	5	103.30187225341797
25	awcfs1qg	6	103.19383239746094
25	gzg07b41	7	102.73017883300781
25	8p1agcm2	8	102.50827026367188
25	zhrukh5r	9	102.4870834350586
25	gszkxr1d	10	102.46631622314453
33	bzz9foxx	1	112.22090148925781
33	0hja5bd8	2	111.89801025390625
33	rgi28k3d	3	110.89116668701172
33	gf44xeb6	4	110.64019775390625
33	6mewd1gl	5	110.6233901977539
33	4yuhtvim	6	109.99638366699219
33	42e2ze7l	7	109.71366882324219
33	aoxsl823	8	109.62813568115234
33	91e70966	9	109.57371520996094
33	n6tdfpro	10	109.00395965576172
41	97mg41jl	1	106.44734954833984
41	cv3op3bb	2	106.0183334350586
41	ujlsdpzf	3	105.75047302246094
41	fs983x5g	4	105.69868469238281
41	80w0wu9e	5	104.63018035888672
41	u7s67aug	6	104.57050323486328
41	wwucpqin	7	104.411865234375
41	yq7enzvm	8	104.38768005371094
41	ybkuoivn	9	104.30083465576172
41	8yvu9xhw	10	104.09729766845703
49	kqanoog7	1	107.15283203125
49	z6ytcze7	2	105.68008422851562
49	pjwgrejn	3	105.10006713867188
49	cjw88eoq	4	105.0602798461914
49	l9mbrdej	5	104.5886001586914
49	8aezcyf9	6	104.5029067993164
49	eg84q35t	7	104.23953247070312
49	9iuesnxo	8	104.22418975830078
49	871812f7	9	104.18949890136719
49	tqziaq1m	10	104.16722106933594
2	j1cdoxqs	1	105.7237777709961
2	gctnx6j1	2	105.36331939697266
2	gvfooevu	3	104.56298065185547
2	be0mr85h	4	104.33026123046875
2	bp9xz9wk	5	104.24048614501953
2	kh21pnbw	6	104.0697021484375
2	7mfedn03	7	103.66295623779297
2	wcwyzfgl	8	103.41292572021484
2	why2zsb1	9	103.4000473022461
2	0s6k8bbe	10	103.29751586914062
10	0ufwlw87	1	110.15703582763672
10	qjf23a7e	2	108.96923828125
10	f0sc3vmp	3	108.65487670898438
10	ocwetgv6	4	108.55477142333984
10	2s23t6us	5	108.44776916503906
10	2fokjcjr	6	108.16432189941406
10	yv7c5xlb	7	108.06184387207031
10	cb5ebiiv	8	107.64642333984375
10	u0cr5ic0	9	107.60747528076172
10	gkkgtc5r	10	107.51494598388672
18	a6gaoeie	1	107.46365356445312
18	g477u9k1	2	107.08162689208984
18	8je46886	3	106.92001342773438
18	1j3ou5yv	4	106.86639404296875
18	e3icgsl9	5	106.82059478759766
18	0zjdgqv3	6	106.6888656616211
18	rnle3aji	7	106.59934997558594
18	8b9nn5vi	8	106.35760498046875
18	f4sd7vbi	9	106.29081726074219
18	84asc8do	10	105.99695587158203
26	6m70ltbw	1	112.65288543701172
26	1jprldcz	2	112.00191497802734
26	jf8s9nll	3	111.19722747802734
26	7kjwe7vf	4	110.55036926269531
26	mvxvhtzy	5	110.50113677978516
26	mdbb5kgv	6	110.49483489990234
26	3sj0csim	7	110.4657974243164
26	jb05x03a	8	110.36239624023438
26	wy0y5ztd	9	110.36239624023438
26	9zjtwp19	10	110.03963470458984
34	b2wgo20y	1	107.8935775756836
34	bfpmx2d3	2	106.09202575683594
34	3tna1y5o	3	105.97398376464844
34	bsqpkjcj	4	105.97398376464844
34	e1fhje3z	5	105.95167541503906
34	3dmfcz1i	6	105.39187622070312
34	9zjtwp19	7	105.2840805053711
34	miemes9h	8	105.16618347167969
34	7kjwe7vf	9	104.9876937866211
34	97pdrvvt	10	104.93925476074219
42	vjgrq22k	1	109.71211242675781
42	am4vvqo6	2	107.88308715820312
42	8ceblnkz	3	107.83271789550781
42	uz34fjyp	4	107.83271789550781
42	6hch5vdj	5	107.13883209228516
42	3vpx738n	6	107.1243667602539
42	at0tm7tp	7	107.05597686767578
42	780skv92	8	106.98881530761719
42	dqqrulyx	9	106.896240234375
42	4v71xohx	10	106.8756332397461
50	1v0f2dtx	1	106.18155670166016
50	xbze5s3c	2	106.14103698730469
50	q77da2y3	3	105.72712707519531
50	4g9a1wg3	4	105.72491455078125
50	6emy92i5	5	105.40565490722656
